camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
g,sphere1015g_crop.png,50,asym_in8_out14,4,7,0.08,0.14,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,5.0402153707138915,0.0,0.0,0.0,4.594416639559825,1030.6033459687021,1.0,1.0
g,sphere1015g_crop.png,50,asym_in5_out20,2,10,0.04,0.2,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,6.200320985474409,0.0,0.0,0.0,5.754522254320343,1290.8341482765693,1.0,1.0
g,sphere1015g_crop.png,50,asym_in10_out20,5,10,0.1,0.2,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,6.235028727084778,0.0,0.0,0.0,5.789229995930712,1298.6196665351158,1.0,1.0
g,sphere1015g_crop.png,50,asym_in14_out5,7,2,0.14,0.04,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,3.022957368640478,0.0,0.0,0.0,2.577158637486412,578.099141470135,1.0,1.0
g,sphere1015g_crop.png,50,asym_in20_out8,10,4,0.2,0.08,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,3.8389280641244135,0.0,0.0,0.0,3.3931293329703474,761.1348117089404,1.0,1.0
g,sphere1015g_crop.png,50,asym_in14_out8,7,4,0.14,0.08,0.4457987311540662,0.045635808259248734,0.006429219618439674,0.8078431487083435,3.8378553771934967,0.0,0.0,0.0,3.3920566460394306,760.8941903576548,1.0,1.0
g,sphere1204g_crop.png,49,fixed_15px,15,15,0.30612244897959184,0.30612244897959184,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,8.917727139162354,2.8798161078036344e-10,1.8099844956154243e-09,0.0002473505155649036,8.485140673182189,1961.4900928433665,0.9999999933297783,0.9999997906247706
g,sphere1204g_crop.png,49,fixed_25px,25,25,0.5102040816326531,0.5102040816326531,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,1.7229460483131553,0.0009097923757508397,0.00217401422560215,0.11732528358697891,1.2903595823329899,298.28940196019767,0.9789274152549063,0.74851457116484
g,sphere1204g_crop.png,49,fixed_35px,35,35,0.7142857142857143,0.7142857142857143,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,1.0068762617498401,0.015053118579089642,0.00730901537463069,0.5343025326728821,0.5742897957696745,132.7572268051507,0.6513401019941256,0.15450835408279617
g,sphere1204g_crop.png,49,prop_5pct,2,2,0.04081632653061224,0.04081632653061224,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,2.9918638365455976,0.0,0.0,0.0,2.559277370565432,591.6221546059134,1.0,1.0
g,sphere1204g_crop.png,49,prop_8pct,3,3,0.061224489795918366,0.061224489795918366,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,3.4407646521610493,0.0,0.0,0.0,3.0081781861808836,695.3935045944805,1.0,1.0
g,sphere1204g_crop.png,49,prop_10pct,4,4,0.08163265306122448,0.08163265306122448,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,3.8873955151428174,0.0,0.0,0.0,3.4548090491626517,798.6401149501189,1.0,1.0
g,sphere1204g_crop.png,49,prop_14pct,6,6,0.12244897959183673,0.12244897959183673,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,4.792666587460594,0.0,0.0,0.0,4.360080121480428,1007.9095081260219,1.0,1.0
g,sphere1204g_crop.png,49,prop_20pct,9,9,0.1836734693877551,0.1836734693877551,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,6.23614604226683,0.0,0.0,0.0,5.8035595762866645,1341.5952723201383,1.0,1.0
g,sphere1204g_crop.png,49,prop_30pct,14,14,0.2857142857142857,0.2857142857142857,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,8.496212194207803,0.0,0.0,0.0,8.063625728227638,1864.049470423645,1.0,1.0
g,sphere1204g_crop.png,49,asym_in5_out14,2,6,0.04081632653061224,0.12244897959183673,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,4.760135572216509,0.0,0.0,0.0,4.327549106236344,1000.3893895364644,1.0,1.0
g,sphere1204g_crop.png,49,asym_in8_out14,3,6,0.061224489795918366,0.12244897959183673,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,4.7690167014017115,0.0,0.0,0.0,4.336430235421546,1002.4424193660222,1.0,1.0
g,sphere1204g_crop.png,49,asym_in5_out20,2,9,0.04081632653061224,0.1836734693877551,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,6.0679868340201395,0.0,0.0,0.0,5.635400368039974,1302.7223020653544,1.0,1.0
g,sphere1204g_crop.png,49,asym_in10_out20,4,9,0.08163265306122448,0.1836734693877551,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,6.093405200883272,0.0,0.0,0.0,5.660818734903107,1308.5982063901786,1.0,1.0
g,sphere1204g_crop.png,49,asym_in14_out5,6,2,0.12244897959183673,0.04081632653061224,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,2.998361375847159,0.0,0.0,0.0,2.565774909866993,593.1241755456667,1.0,1.0
g,sphere1204g_crop.png,49,asym_in20_out8,9,3,0.1836734693877551,0.061224489795918366,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,3.3956029186061127,0.0,0.0,0.0,2.963016452625947,684.9535724406607,1.0,1.0
g,sphere1204g_crop.png,49,asym_in14_out8,6,3,0.12244897959183673,0.061224489795918366,0.4325864659801656,0.04317421838641167,0.008644692599773407,0.7960784435272217,3.4468484047423544,0.0,0.0,0.0,3.0142619387621887,696.7998714274141,1.0,1.0
g,sphere1256g_crop.png,50,fixed_15px,15,15,0.3,0.3,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.1980141856540767,0.0,0.0,0.0,0.8340658421384997,229.17149013011002,1.0,1.0
g,sphere1256g_crop.png,50,fixed_25px,25,25,0.5,0.5,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.004088705421339,0.0009752943878993392,0.00134013663046062,0.11509592086076736,0.640140361905762,175.88769761178037,0.9808983201368414,0.8542291515408824
g,sphere1256g_crop.png,50,fixed_35px,35,35,0.7,0.7,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,0.8158824062541612,0.017245404422283173,0.004915690049529076,0.571081817150116,0.4519340627385841,124.1753316894108,0.662239218770988,0.46530503458024
g,sphere1256g_crop.png,50,prop_5pct,2,2,0.04,0.04,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.8145858083523565,0.0,0.0,0.0,1.4506374648367795,398.583340378548,1.0,1.0
g,sphere1256g_crop.png,50,prop_8pct,4,4,0.08,0.08,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.8711155678308131,0.0,0.0,0.0,1.507167224315236,414.11569833143886,1.0,1.0
g,sphere1256g_crop.png,50,prop_10pct,5,5,0.1,0.1,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.7891251550350558,0.0,0.0,0.0,1.4251768115194787,391.58766262072044,1.0,1.0
g,sphere1256g_crop.png,50,prop_14pct,7,7,0.14,0.14,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.6169871031629164,0.0,0.0,0.0,1.2530387596473394,344.2902768957675,1.0,1.0
g,sphere1256g_crop.png,50,prop_20pct,10,10,0.2,0.2,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.368087961321169,0.0,0.0,0.0,1.004139617805592,275.90168651574436,1.0,1.0
g,sphere1256g_crop.png,50,prop_30pct,15,15,0.3,0.3,0.3639483435155771,0.05105804279446602,0.009193447418510914,0.8509804010391235,1.1980141856540767,0.0,0.0,0.0,0.8340658421384997,229.17149013011002,1.0,1.0
