frame_idx,filename,z_mm,stage_mm,crop_h,crop_w,consensus_cx,consensus_cy,consensus_r,a_ok,a_cx,a_cy,a_r,a_sigma,a_conf,b_ok,b_cx,b_cy,b_r,b_sigma,b_conf,c_ok,c_cx,c_cy,c_r,c_sigma,c_conf,ab_diff,ac_diff,bc_diff
33,7_mm_4.cine,-7.4,0.6,860,860,628,468,359,True,430,430,358,11.715798706809004,0.9972426832419932,True,430,430,359,11.697358885264027,0.9972533764605943,False,-1,-1,-1,nan,nan,0.01843982154497681,nan,nan
34,7_mm_40.cine,-0.20000000000000018,7.8,860,860,628,468,359,True,430,430,358,1.1824527174951593,0.9962755204347926,True,430,430,359,1.1782368096251306,0.9962719585912116,True,430,416,364,1.1699473609664586,0.9966192587273162,0.00421590787002879,0.012505356528700773,0.008289448658671983
35,7_mm_41.cine,0.0,8.0,860,860,628,468,359,True,430,430,358,1.1561963041913503,0.9964876997483092,True,430,430,359,1.1556646794156527,0.9964848672454732,True,430,417,364,1.1354542042780635,0.9967721122351363,0.0005316247756976811,0.020742099913286793,0.020210475137589112
36,7_mm_42.cine,0.1999999999999993,8.2,860,860,628,468,359,True,430,430,358,1.1664875117736746,0.9964066110983227,True,430,430,359,1.1643269874793325,0.9963990313701773,True,430,415,364,1.1365644883036583,0.9967446180444214,0.0021605242943421032,0.029923023470016297,0.027762499175674193
37,7_mm_43.cine,0.40000000000000036,8.4,860,860,628,468,359,True,430,430,358,1.3453432344853404,0.9961620992895587,True,430,430,359,1.3431451231564195,0.9961573394182073,True,430,416,364,1.3202907240143615,0.9965077611407721,0.002198111328920893,0.025052510470978895,0.022854399142058
38,7_mm_44.cine,0.5999999999999996,8.6,860,860,628,468,359,True,430,430,358,1.5574065876925405,0.9965191739779734,True,430,430,359,1.5543564749353913,0.9965181850917895,True,430,415,364,1.54065306503922,0.9968703304191417,0.0030501127571491704,0.01675352265332042,0.013703409896171248
39,7_mm_45.cine,0.8000000000000007,8.8,860,860,628,468,359,True,430,430,358,1.8232447400199594,0.9960116816028002,True,430,430,359,1.819867211402802,0.996011646319674,True,430,414,364,1.8035888474125974,0.9964816714575923,0.0033775286171573438,0.019655892607362002,0.01627836399020466
40,7_mm_46.cine,1.0,9.0,860,860,628,468,359,True,430,430,358,2.0574869780149427,0.9966365463186685,True,430,430,359,2.055830106768402,0.9966343650837772,True,429,415,363,2.0050127460460603,0.9969861466845504,0.001656871246540792,0.05247423196888246,0.050817360722341665
41,7_mm_47.cine,1.1999999999999993,9.2,860,860,628,468,359,True,430,430,358,2.329183185033642,0.9963731019221053,True,430,430,359,2.3247380712347123,0.9963727016794763,True,428,431,361,2.3200046981265987,0.996375027104794,0.004445113798929867,0.009178486907043482,0.004733373108113614
42,7_mm_48.cine,1.4000000000000004,9.4,860,860,628,468,359,True,430,430,358,2.545229545637227,0.9968987254579008,True,430,430,359,2.5404296207891734,0.996893935922141,True,428,430,360,2.5360973585402995,0.9968919290604347,0.004799924848053472,0.009132187096927424,0.004332262248873953
43,7_mm_49.cine,1.5999999999999996,9.6,860,860,628,468,359,True,430,430,358,2.8804051046953942,0.9963773472217436,True,430,430,359,2.8717545475074786,0.9963765631706912,True,428,430,360,2.876037001798777,0.9963788401346615,0.00865055718791563,0.004368102896617376,0.004282454291298254
44,7_mm_5.cine,-7.2,0.8,860,860,628,468,359,True,430,430,358,11.776929581241747,0.9972275143642252,True,430,430,359,11.75550046858557,0.997236650159118,False,-1,-1,-1,nan,nan,0.021429112656177196,nan,nan
45,7_mm_50.cine,1.8000000000000007,9.8,860,860,628,468,359,True,430,430,358,3.153473503728587,0.9966546947271162,True,430,430,359,3.150012083379437,0.9966545746746716,True,428,430,359,3.156317541147853,0.9966531877123977,0.0034614203491498685,0.0028440374192659768,0.006305457768415845
46,7_mm_51.cine,2.0,10.0,860,860,628,468,359,True,430,430,358,3.4270429167458465,0.9965851840823038,True,430,430,359,3.416829727242271,0.996587139012742,True,428,430,359,3.4216747337303044,0.9965853665869356,0.010213189503575304,0.005368183015542094,0.00484500648803321
47,7_mm_52.cine,2.1999999999999993,10.2,860,860,628,468,359,True,430,430,358,3.783243354586319,0.9960591962568657,True,430,430,359,3.771200508586101,0.9960632060424529,True,428,430,359,3.7732938877580153,0.9960592249889056,0.012042846000217988,0.009949466828303777,0.0020933791719142114
48,7_mm_53.cine,2.4000000000000004,10.4,860,860,628,468,359,True,430,430,358,4.070554155847352,0.9963290403639912,True,430,430,359,4.057775456994678,0.9963308005944109,True,428,429,359,4.061972556415165,0.9963337790853447,0.012778698852674353,0.008581599432186948,0.004197099420487405
49,7_mm_54.cine,2.5999999999999996,10.6,860,860,628,468,359,True,430,430,358,4.336075693179165,0.9965513636245699,True,430,430,359,4.327806102680963,0.9965523973274346,True,427,429,359,4.3256099389968306,0.9965540418768748,0.008269590498201751,0.010465754182334308,0.002196163684132557
50,7_mm_55.cine,2.8000000000000007,10.8,860,860,628,468,359,True,430,430,358,4.647927386143683,0.9964930795214776,True,430,430,359,4.637861858907357,0.996493264812941,True,427,429,358,4.664289006767296,0.9964940252173924,0.010065527236326588,0.016361620623612794,0.02642714785993938
51,7_mm_56.cine,3.0,11.0,860,860,628,468,359,True,430,430,358,4.981800537326032,0.9961298685082056,True,430,430,359,4.975409550444838,0.9961327682314827,True,427,428,358,4.996119338743572,0.9961399419272361,0.006390986881194216,0.014318801417539717,0.020709788298733933
52,7_mm_57.cine,3.1999999999999993,11.2,860,860,628,468,359,True,430,430,358,5.210190368980176,0.9963914361269717,True,430,430,359,5.196601802258618,0.9963896473854117,True,426,429,358,5.219803480859248,0.9963928774249547,0.01358856672155806,0.0096131118790721,0.02320167860063016
53,7_mm_58.cine,3.4000000000000004,11.4,860,860,628,468,359,True,430,430,358,5.663458099880513,0.9960674726491185,True,430,430,359,5.649745769068911,0.9960681434333137,True,426,429,358,5.653608491643405,0.9960713440634259,0.013712330811602058,0.009849608237107788,0.0038627225744942706
54,7_mm_59.cine,3.5999999999999996,11.6,860,860,628,468,359,True,430,430,358,5.924390890663836,0.9962377696166362,True,430,430,359,5.911085024225674,0.9962404529510387,True,408,376,351,5.429369405502979,0.9979506551477354,0.013305866438162006,0.49502148516085676,0.48171561872269475
55,7_mm_6.cine,-7.0,1.0,860,860,628,468,359,True,430,430,358,11.80194177159315,0.9970023134651189,True,430,430,359,11.764680448740823,0.9970089878889641,False,-1,-1,-1,nan,nan,0.03726132285232708,nan,nan
56,7_mm_60.cine,3.8000000000000007,11.8,860,860,628,468,359,True,430,430,358,6.2766043227982475,0.9962358405660812,True,430,430,359,6.2482070052762575,0.9962381619427276,True,427,428,356,6.284268248644831,0.9962380908307615,0.02839731752199004,0.007663925846583375,0.036061243368573415
57,7_mm_61.cine,4.0,12.0,860,860,628,468,359,True,430,430,358,6.561379669594581,0.9962098411731424,True,430,430,359,6.544708562503818,0.9962122723629334,True,426,428,356,6.583375364544211,0.99621451530026,0.01667110709076347,0.02199569494962983,0.0386668020403933
58,7_mm_7.cine,-6.8,1.2,860,860,628,468,359,True,430,430,358,11.789326832075497,0.9972070573790162,True,430,430,359,11.766897186827588,0.9972172386432803,False,-1,-1,-1,nan,nan,0.022429645247909136,nan,nan
59,7_mm_8.cine,-6.6,1.4,860,860,628,468,359,True,430,430,358,11.445889905331283,0.9970410950555656,True,430,430,359,11.418960180316754,0.9970476595578772,False,-1,-1,-1,nan,nan,0.026929725014529282,nan,nan
60,7_mm_9.cine,-6.4,1.6,860,860,628,468,359,True,430,430,358,11.115784724416127,0.9970625965378405,True,430,430,359,11.101577553560478,0.9970705769277861,False,-1,-1,-1,nan,nan,0.014207170855648599,nan,nan
