method,n,mae_mm,rmse_mm,median_ae_mm,max_error_mm,bias_mm,mae_0_2mm,bias_0_2mm,mae_2_4mm,bias_2_4mm,mae_4_6mm,bias_4_6mm,mae_6_8mm,bias_6_8mm
A_simple_flatten,60,5.72007496440638,7.0144613795789885,7.368568223193091,11.782511388606117,4.427951818595225,3.9333134321203014,3.603142971568896,6.798565845765654,6.339397348473365,9.566642174041377,9.566642174041377,2.748426688718149,-2.748426688718149
B_calib_flatten,60,1.3103522349162477,1.603423341124857,1.171784272981446,3.70759444241443,-1.2130037352415692,0.3313716531954085,-0.006876654279813698,1.082447334617664,-1.082447334617664,1.814663606889216,-1.814663606889216,2.7338603526908405,-2.7338603526908405
C_no_flatten,60,1.3345836581635047,1.6253908533945827,1.2119567106465774,3.7162083692676218,-1.241617495715345,0.3363101983965502,-0.026422990236018146,1.1204758222253899,-1.1204758222253899,1.8555858379741332,-1.8555858379741332,2.748426688718149,-2.748426688718149
