droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path
0825,g,sphere0825g.cine,-1750,-1620,-1730,0.31616339087486267,163,254,406,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0825g_crop.png
0825,v,sphere0825v.cine,-6015,-5615,-5981,0.505200207233429,85,297,377,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0825v_crop.png
0827,g,sphere0827g.cine,-1945,-1825,-1926,0.3163808286190033,158,248,406,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0827g_crop.png
0827,v,sphere0827v.cine,-6695,-6345,-6661,0.505868136882782,77,288,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0827v_crop.png
0829,g,sphere0829g.cine,-2465,-2345,-2443,0.3157094419002533,159,249,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0829g_crop.png
0829,v,sphere0829v.cine,-8485,-8095,-8453,0.5058203339576721,86,298,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0829v_crop.png
0831,g,sphere0831g.cine,-1685,-1385,-1666,0.31938424706459045,151,241,383,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0831g_crop.png
0831,v,sphere0831v.cine,-5785,-5185,-5538,0.4944804608821869,180,189,369,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0831v_crop.png
0833,g,sphere0833g.cine,-1625,-1515,-1607,0.31564584374427795,163,253,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0833g_crop.png
0833,v,sphere0833v.cine,-5585,-5235,-5554,0.5059345960617065,82,296,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0833v_crop.png
0835,g,sphere0835g.cine,-2335,-2215,-2315,0.3159599304199219,160,250,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0835g_crop.png
0835,v,sphere0835v.cine,-8045,-7695,-8010,0.5107851624488831,80,294,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0835v_crop.png
0837,g,sphere0837g.cine,-3620,-3500,-3599,0.3162027895450592,160,251,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0837g_crop.png
0837,v,sphere0837v.cine,-12500,-12150,-12468,0.5137314200401306,80,295,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0837v_crop.png
0839,g,sphere0839g.cine,-2580,-2460,-2559,0.31594595313072205,160,252,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0839g_crop.png
0839,v,sphere0839v.cine,-8895,-8545,-8860,0.5135273337364197,77,290,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0839v_crop.png
0841,g,sphere0841g.cine,-2355,-2245,-2336,0.3155148923397064,161,252,407,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0841g_crop.png
0841,v,sphere0841v.cine,-8120,-7770,-8085,0.5141044855117798,87,300,376,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\20mm-borosilicate-2\sphere0841v_crop.png
