filename,z_true_mm,z_pred_mm,z_error_mm,sigma_model_px,sigma_native_px,native_size
7_mm_1.cine,8.0,6.964357101937702,-1.0356428980622976,3.2469379901885986,10.907682310789824,860
7_mm_2.cine,7.8,6.9731500221661395,-0.8268499778338603,3.250990390777588,10.92129584401846,860
7_mm_3.cine,7.6,6.970576863066519,-0.6294231369334806,3.2498044967651367,10.917311981320381,860
7_mm_4.cine,7.4,7.001807068471623,-0.398192931528377,3.264197587966919,10.965663772076368,860
7_mm_5.cine,7.2,6.983093466286325,-0.21690653371367485,3.255573034286499,10.936690662056208,860
7_mm_6.cine,7.0,7.024638552931344,0.02463855293134376,3.2747199535369873,11.001012343913317,860
7_mm_7.cine,6.8,6.981979672249035,0.18197967224903522,3.2550597190856934,10.934966243803501,860
7_mm_8.cine,6.6,6.852171193376265,0.2521711933762649,3.195234775543213,10.73399182409048,860
7_mm_9.cine,6.4,6.7014567021323925,0.3014567021323922,3.12577486038208,10.50064992159605,860
7_mm_10.cine,6.2,6.526840387430586,0.3268403874305861,3.0452992916107178,10.230302307754755,860
7_mm_11.cine,6.0,6.344469417541141,0.34446941754114135,2.961249828338623,9.947948642075062,860
7_mm_12.cine,5.8,6.178839501456044,0.37883950145604395,2.884915828704834,9.691514112055302,860
7_mm_13.cine,5.6,6.0241312851922535,0.42413128519225385,2.813615322113037,9.451988972723484,860
7_mm_14.cine,5.4,5.856285162114237,0.456285162114237,2.736259937286377,9.192123226821423,860
7_mm_15.cine,5.2,5.636791173127736,0.43679117312773563,2.635101556777954,8.85229429230094,860
7_mm_16.cine,5.0,5.533598388367626,0.5335983883676256,2.58754301071167,8.692527301609516,860
7_mm_17.cine,4.8,5.304886240556007,0.5048862405560071,2.4821362495422363,8.33842646330595,860
7_mm_18.cine,4.6,5.181313042468867,0.5813130424688673,2.425184965133667,8.147105742245913,860
7_mm_19.cine,4.4,4.940784227959713,0.5407842279597128,2.3143322467803955,7.774709891527891,860
7_mm_20.cine,4.2,4.811422197881268,0.611422197881268,2.2547130584716797,7.574426680803299,860
7_mm_21.cine,4.0,4.631644045323408,0.6316440453234078,2.171858549118042,7.296087313443422,860
7_mm_22.cine,3.8,4.398875576542724,0.5988755765427243,2.064582347869873,6.935706324875355,860
7_mm_23.cine,3.5999999999999996,4.199780107149535,0.5997801071495354,1.972825050354004,6.627459153532982,860
7_mm_24.cine,3.4000000000000004,4.054710632410499,0.6547106324104988,1.9059667587280273,6.402857080101967,860
7_mm_25.cine,3.2,3.8122470340186405,0.6122470340186403,1.794222354888916,6.027465723454952,860
7_mm_26.cine,3.0,3.6717258533696455,0.6717258533696455,1.7294602394104004,5.809905491769314,860
7_mm_27.cine,2.8,3.4174999070790997,0.6174999070790999,1.6122949123382568,5.416303221136332,860
7_mm_28.cine,2.5999999999999996,3.274540071022865,0.6745400710228653,1.5464088916778564,5.194967370480299,860
7_mm_29.cine,2.4000000000000004,3.031642180901185,0.6316421809011845,1.4344643354415894,4.818903626874089,860
7_mm_30.cine,2.2,2.8873243748737996,0.6873243748737994,1.3679524660110474,4.595465315505862,860
7_mm_31.cine,2.0,2.6701006530181153,0.6701006530181153,1.2678403854370117,4.259151294827461,860
7_mm_32.cine,1.7999999999999998,2.54846818801546,0.74846818801546,1.211783528327942,4.07083529047668,860
7_mm_33.cine,1.5999999999999996,2.399386881990225,0.7993868819902255,1.1430763006210327,3.8400219473987818,860
7_mm_34.cine,1.4000000000000004,2.2668914332012045,0.8668914332012041,1.0820130109786987,3.634887458756566,860
7_mm_35.cine,1.2000000000000002,2.155640325301812,0.955640325301812,1.0307406187057495,3.4626442659646273,860
7_mm_36.cine,1.0,2.0639051858449577,1.0639051858449577,0.9884625673294067,3.3206164371222258,860
7_mm_37.cine,0.7999999999999998,1.966787700074829,1.1667877000748292,0.9437039494514465,3.170255455188453,860
7_mm_38.cine,0.5999999999999996,1.9242855679263335,1.324285567926334,0.9241159558296204,3.104452039115131,860
7_mm_39.cine,0.40000000000000036,1.8735656481648013,1.473565648164801,0.9007406234741211,3.0259255319833755,860
7_mm_40.cine,0.20000000000000018,1.8512879567923637,1.6512879567923635,0.890473484992981,2.9914343636482954,860
7_mm_41.cine,0.0,1.8167488312242226,1.8167488312242226,0.8745554089546204,2.9379595769569278,860
7_mm_42.cine,0.1999999999999993,1.8344161498793667,1.6344161498793675,0.8826977610588074,2.965312791056931,860
7_mm_43.cine,0.40000000000000036,1.921006652433135,1.5210066524331347,0.9226047992706299,3.0993754975497723,860
7_mm_44.cine,0.5999999999999996,1.9365918797963217,1.336591879796322,0.9297875761985779,3.1235051387920976,860
7_mm_45.cine,0.8000000000000007,2.091008714503445,1.2910087145034441,1.0009537935256958,3.3625791501253843,860
7_mm_46.cine,1.0,2.1134110804522814,1.1134110804522814,1.0112783908843994,3.3972633443772793,860
7_mm_47.cine,1.1999999999999993,2.26538007728855,1.0653800772885509,1.0813164710998535,3.6325475201010704,860
7_mm_48.cine,1.4000000000000004,2.3171430473183996,0.9171430473183992,1.1051725149154663,3.7126889172941446,860
7_mm_49.cine,1.5999999999999996,2.532298257581838,0.9322982575818384,1.2043312788009644,4.04580038972199,860
7_mm_50.cine,1.8000000000000007,2.6301711626473465,0.8301711626473458,1.2494380474090576,4.197330940514803,860
7_mm_51.cine,2.0,2.775648804360568,0.7756488043605678,1.3164844512939453,4.4225649535655975,860
7_mm_52.cine,2.1999999999999993,2.9949544881777364,0.7949544881777371,1.4175560474395752,4.762102346867323,860
7_mm_53.cine,2.4000000000000004,3.1300701723587108,0.7300701723587104,1.4798269271850586,4.971293583512306,860
7_mm_54.cine,2.5999999999999996,3.253486621912038,0.6534866219120383,1.5367059707641602,5.1623716205358505,860
7_mm_55.cine,2.8000000000000007,3.4431132900225774,0.6431132900225767,1.6240993738174438,5.455958833917975,860
7_mm_56.cine,3.0,3.6496082731233304,0.6496082731233304,1.7192668914794922,5.775662213563919,860
7_mm_57.cine,3.1999999999999993,3.7457766025488612,0.545776602548862,1.7635880708694458,5.9245536755770445,860
7_mm_58.cine,3.4000000000000004,3.9606309901310714,0.5606309901310711,1.8626081943511963,6.25719940289855,860
7_mm_59.cine,3.5999999999999996,4.089222210587797,0.4892222105877977,1.9218721389770508,6.45628921687603,860
7_mm_60.cine,3.8000000000000007,4.2517357795848145,0.4517357795848138,1.996769905090332,6.707898899912834,860
7_mm_61.cine,4.0,4.387163408867733,0.3871634088677327,2.0591845512390137,6.9175731018185616,860
