droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path
0843,g,sphere0843g.cine,-3385,-3310,-3357,0.0864708349108696,158,252,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0843g_crop.png
0843,v,sphere0843v.cine,-7645,-7535,-7608,0.17757324874401093,146,355,496,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0843v_crop.png
0845,g,sphere0845g.cine,-8165,-8090,-8138,0.0862666666507721,156,250,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0845g_crop.png
0845,v,sphere0845v.cine,-18510,-18410,-18472,0.1786494106054306,147,355,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0845v_crop.png
0847,g,sphere0847g.cine,-3280,-3210,-3255,0.08619166910648346,156,250,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0847g_crop.png
0847,v,sphere0847v.cine,-7410,-7310,-7376,0.17838867008686066,138,347,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0847v_crop.png
0849,g,sphere0849g.cine,-3195,-3115,-3165,0.08622916787862778,158,253,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0849g_crop.png
0849,v,sphere0849v.cine,-7210,-7030,-7172,0.1786806583404541,136,346,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0849v_crop.png
0851,g,sphere0851g.cine,-3040,-2950,-3012,0.08620624989271164,164,258,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0851g_crop.png
0851,v,sphere0851v.cine,-6865,-6745,-6826,0.17880956828594208,147,355,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0851v_crop.png
0853,g,sphere0853g.cine,-3430,-3345,-3401,0.08631875365972519,154,248,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0853g_crop.png
0853,v,sphere0853v.cine,-7745,-7625,-7708,0.17796483635902405,147,356,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0853v_crop.png
0855,g,sphere0855g.cine,-3785,-3695,-3757,0.08630625158548355,164,259,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0855g_crop.png
0855,v,sphere0855v.cine,-8555,-8445,-8518,0.17790234088897705,143,353,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0855v_crop.png
0857,g,sphere0857g.cine,-5730,-5645,-5701,0.08637291938066483,163,258,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0857g_crop.png
0857,v,sphere0857v.cine,-12970,-12850,-12936,0.1782499998807907,133,342,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0857v_crop.png
0859,g,sphere0859g.cine,-3830,-3730,-3802,0.08817916363477707,159,255,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0859g_crop.png
0859,v,sphere0859v.cine,-8655,-8525,-8621,0.179872065782547,126,337,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0859v_crop.png
0861,g,sphere0861g.cine,-3365,-3280,-3340,0.08654166758060455,162,257,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0861g_crop.png
0861,v,sphere0861v.cine,-7610,-7490,-7572,0.17873242497444153,138,347,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0861v_crop.png
0863,g,sphere0863g.cine,-4145,-4075,-4120,0.08618125319480896,164,259,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0863g_crop.png
0863,v,sphere0863v.cine,-9380,-9260,-9343,0.1750839799642563,140,349,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0863v_crop.png
0865,g,sphere0865g.cine,-2765,-2675,-2737,0.08621250092983246,157,251,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0865g_crop.png
0865,v,sphere0865v.cine,-6235,-6115,-6198,0.1761464774608612,141,350,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0865v_crop.png
0867,g,sphere0867g.cine,-3200,-3120,-3171,0.08610624819993973,158,252,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0867g_crop.png
0867,v,sphere0867v.cine,-7230,-7110,-7186,0.1758740246295929,148,355,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0867v_crop.png
0869,g,sphere0869g.cine,-2710,-2630,-2682,0.0861208364367485,160,253,412,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0869g_crop.png
0869,v,sphere0869v.cine,-6110,-5990,-6075,0.17577636241912842,140,345,495,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\4mm-borosilicate\sphere0869v_crop.png
