droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
0589,v,sphere0589v.cine,-5920,-5620,-5875,0.2656796872615814,97,343,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0589v_crop.png,103.33795115885772,541293570.0,5693.618710607279,17344244.0,0.012921439153814282,10721096.0
0590,v,sphere0590v.cine,-6950,-6650,-6907,0.2656591832637787,94,340,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0590v_crop.png,110.02184081835068,552610312.0,5822.064791963842,17885914.0,0.013995052815436785,11048185.0
0591,v,sphere0591v.cine,-7740,-7440,-7698,0.26548436284065247,94,340,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0591v_crop.png,101.37511232057221,532957536.0,5597.654762279597,17104863.0,0.01292260000246058,10548984.0
0592,v,sphere0592v.cine,-9060,-8560,-9022,0.2655332088470459,92,337,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0592v_crop.png,90.77457934010205,505005820.0,5295.360663796156,16180462.0,0.01178653863286838,9874800.0
0593,v,sphere0593v.cine,-6350,-6050,-6310,0.26591405272483826,90,342,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0593v_crop.png,87.13764571218051,505773174.0,5293.638946797254,16540535.0,0.011608605731031015,9808459.0
0594,v,sphere0594v.cine,-7990,-7690,-7953,0.2658359408378601,94,346,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0594v_crop.png,85.93720257524566,504215814.0,5267.182102805842,16500297.0,0.011331344668267147,9753721.0
0595,v,sphere0595v.cine,-6450,-6050,-6408,0.26594629883766174,88,340,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0595v_crop.png,107.08567852982257,543752060.0,5715.616829073643,18067443.0,0.014294713742766736,10843525.0
0596,v,sphere0596v.cine,-9910,-9510,-9867,0.2667275369167328,94,346,433,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0596v_crop.png,115.95673932653543,559568860.0,5900.006845782123,18625284.0,0.015297534082569383,11286388.0
0597,v,sphere0597v.cine,-5870,-5520,-5830,0.26591992378234863,93,338,433,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0597v_crop.png,93.90028071318793,516563968.0,5412.252346524414,16505340.0,0.011984241347236867,10123856.0
0598,v,sphere0598v.cine,-6400,-6100,-6362,0.26561132073402405,99,343,434,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0598v_crop.png,90.00076180846202,509000036.0,5326.555399471769,16026800.0,0.011360980803851027,9921403.0
0599,v,sphere0599v.cine,-7550,-7200,-7511,0.2660585939884186,89,334,433,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0599v_crop.png,86.3185944249687,499012136.0,5212.391567165625,15815261.0,0.011093587555815564,9679134.0
0600,v,sphere0600v.cine,-6290,-5990,-6249,0.26609960198402405,91,337,433,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0600v_crop.png,79.38181279211716,475316178.0,4946.761510163358,14964722.0,0.010269125095231337,9146824.0
0601,v,sphere0601v.cine,-7050,-6750,-7010,0.2659834027290344,95,341,433,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\6mm-borosilicate-1\sphere0601v_crop.png,79.8355648998103,489218710.0,5099.551891513754,15468780.0,0.01013421187158975,9379370.0
