filename,sigma_px,defocus_mm,focus_status,diameter_original_px,original_size,material
10_mm_49_z+3.40mm.png,4.467966039665043,3.4768811806682307,out_of_focus,840.7454223632812,"(970, 970)",preprocessed_crops
10_mm_4_z-5.60mm.png,5.560502861626446,4.346845252637369,out_of_focus,817.3092651367188,"(970, 970)",preprocessed_crops
10_mm_50_z+3.60mm.png,4.540976090356708,3.5350175470749616,out_of_focus,841.0721435546875,"(970, 970)",preprocessed_crops
10_mm_51_z+3.80mm.png,4.67060792259872,3.638240646166138,out_of_focus,841.3126831054688,"(970, 970)",preprocessed_crops
10_mm_52_z+4.00mm.png,4.817760866135359,3.7554154373384416,out_of_focus,841.6551513671875,"(970, 970)",preprocessed_crops
10_mm_53_z+4.20mm.png,5.042185569182038,3.934120103934888,out_of_focus,841.978515625,"(970, 970)",preprocessed_crops
10_mm_54_z+4.40mm.png,5.129789770580828,4.003877485323346,out_of_focus,842.2215576171875,"(970, 970)",preprocessed_crops
10_mm_55_z+4.60mm.png,5.21257487591356,4.069797521962808,out_of_focus,842.749267578125,"(970, 970)",preprocessed_crops
10_mm_56_z+4.80mm.png,5.374640412628651,4.198846897153117,out_of_focus,843.0945434570312,"(970, 970)",preprocessed_crops
10_mm_57_z+5.00mm.png,5.521914861164987,4.316118440198837,out_of_focus,843.498779296875,"(970, 970)",preprocessed_crops
10_mm_58_z+5.20mm.png,5.768082635477185,4.512136656723337,out_of_focus,843.856201171875,"(970, 970)",preprocessed_crops
10_mm_59_z+5.40mm.png,5.856496719643474,4.582538930710441,out_of_focus,844.0504150390625,"(970, 970)",preprocessed_crops
10_mm_5_z-5.40mm.png,5.589223210699856,4.369714662002833,out_of_focus,817.569091796875,"(970, 970)",preprocessed_crops
10_mm_60_z+5.60mm.png,6.013382258825004,4.707463582910639,out_of_focus,844.2528076171875,"(970, 970)",preprocessed_crops
10_mm_61_z+5.80mm.png,6.061173020862043,4.745518360661387,out_of_focus,844.4119262695312,"(970, 970)",preprocessed_crops
10_mm_6_z-5.20mm.png,5.500161852687597,4.298796977478162,out_of_focus,817.46435546875,"(970, 970)",preprocessed_crops
10_mm_7_z-5.00mm.png,5.590548473410308,4.370769940800616,out_of_focus,817.2383422851562,"(970, 970)",preprocessed_crops
10_mm_8_z-4.80mm.png,5.3531141532585025,4.181705989973167,out_of_focus,817.85302734375,"(970, 970)",preprocessed_crops
10_mm_9_z-4.60mm.png,5.161454696208239,4.029091599011493,out_of_focus,818.664794921875,"(970, 970)",preprocessed_crops
