filename,sigma_px,defocus_mm,focus_status,diameter_original_px,original_size,material
9mm_10_z-5.20mm.png,7.748376712203026,5.650856999846433,out_of_focus,796.5186157226562,"(966, 966)",preprocessed_crops
9mm_11_z-5.00mm.png,7.571127969771624,5.519740412113987,out_of_focus,796.83837890625,"(966, 966)",preprocessed_crops
9mm_12_z-4.80mm.png,7.421360618434846,5.408952692034085,out_of_focus,797.7606201171875,"(966, 966)",preprocessed_crops
9mm_13_z-4.60mm.png,7.218730735592544,5.259060859536653,out_of_focus,798.2625732421875,"(966, 966)",preprocessed_crops
9mm_14_z-4.40mm.png,6.940985740162432,5.0536039656765785,out_of_focus,798.5177001953125,"(966, 966)",preprocessed_crops
9mm_15_z-4.20mm.png,6.850840947590768,4.986920967299763,out_of_focus,799.342529296875,"(966, 966)",preprocessed_crops
9mm_16_z-4.00mm.png,6.497848140075803,4.725800849996979,out_of_focus,799.9292602539062,"(966, 966)",preprocessed_crops
9mm_17_z-3.80mm.png,6.2721375413239,4.558835470624258,out_of_focus,800.3600463867188,"(966, 966)",preprocessed_crops
9mm_18_z-3.60mm.png,6.125961623154581,4.450704449009613,out_of_focus,800.923583984375,"(966, 966)",preprocessed_crops
9mm_19_z-3.40mm.png,6.081861306913197,4.418082028651794,out_of_focus,801.4884643554688,"(966, 966)",preprocessed_crops
9mm_1_z-7.00mm.png,8.362559465691447,6.105187709203575,out_of_focus,795.2230224609375,"(966, 966)",preprocessed_crops
9mm_20_z-3.20mm.png,5.678508365526795,4.119708902834564,out_of_focus,802.1283569335938,"(966, 966)",preprocessed_crops
9mm_21_z-3.00mm.png,5.388397126458585,3.905104301370735,out_of_focus,802.5641479492188,"(966, 966)",preprocessed_crops
9mm_22_z-2.80mm.png,5.190554321743548,3.7587536243175994,out_of_focus,802.9722900390625,"(966, 966)",preprocessed_crops
9mm_23_z-2.60mm.png,4.917509137652814,3.556773331855947,out_of_focus,803.7842407226562,"(966, 966)",preprocessed_crops
9mm_24_z-2.40mm.png,4.906060544773936,3.548304439992314,out_of_focus,804.289794921875,"(966, 966)",preprocessed_crops
9mm_25_z-2.20mm.png,4.725464626215398,3.4147118385724955,out_of_focus,804.8076782226562,"(966, 966)",preprocessed_crops
