camera,filename,circ_r,ellip_major,ellip_minor,eccentricity,contour_r,inner_contamination_px,outer_contamination_px
v,sphere0086v_crop.png,106,105.65234375,103.16804504394531,0.9764860994287722,104,17,0
v,sphere0717v_crop.png,94,94.16657257080078,91.8763427734375,0.9756789513004592,93,59,1
v,sphere0925v_crop.png,95,94.33206176757812,90.15132141113281,0.9556806002316994,92,59,0
v,sphere0637v_crop.png,110,109.48007202148438,106.52727508544922,0.9730289094488749,108,9,0
m,sphere0080m_crop.png,29,28.273025512695312,26.881067276000977,0.9507672698109613,28,0,59
m,sphere0167m_crop.png,29,28.566648483276367,27.21609115600586,0.9527225838879504,28,0,59
m,sphere0414m_crop.png,29,28.331912994384766,26.7697811126709,0.9448631695987675,28,0,59
m,sphere0793m_crop.png,29,28.488536834716797,27.310365676879883,0.958644027081055,28,0,59
