droplet_id,camera,cine_file,first_frame,last_frame,best_frame,dark_fraction,y_top,y_bottom,y_sphere,crop_size_px,crop_path
0330,v,sphere0330v.cine,-590,-390,-550,0.4968525469303131,64,303,373,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0330v_crop.png
0332,v,sphere0332v.cine,110,360,144,0.49613282084465027,67,306,373,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0332v_crop.png
0334,v,sphere0334v.cine,-600,-350,-563,0.49513086676597595,63,302,374,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0334v_crop.png
0336,v,sphere0336v.cine,-650,-400,-612,0.4938115179538727,66,301,374,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0336v_crop.png
0338,v,sphere0338v.cine,-150,100,-112,0.49445897340774536,70,306,374,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0338v_crop.png
0340,v,sphere0340v.cine,-780,-580,-744,0.494200199842453,68,304,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0340v_crop.png
0342,v,sphere0342v.cine,-850,-650,-815,0.49351561069488525,68,304,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0342v_crop.png
0344,v,sphere0344v.cine,-1120,-870,-1081,0.49409180879592896,65,302,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0344v_crop.png
0346,v,sphere0346v.cine,-1270,-1020,-1230,0.49418652057647705,71,310,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0346v_crop.png
0348,v,sphere0348v.cine,-550,-300,-516,0.4940566420555115,68,307,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0348v_crop.png
0350,v,sphere0350v.cine,-890,-690,-855,0.4941728413105011,71,310,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0350v_crop.png
0352,v,sphere0352v.cine,-270,-20,-231,0.4946572184562683,67,306,375,296,C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0352v_crop.png
