filename,sigma_px,defocus_mm,focus_status,diameter_original_px,original_size,material
7_mm_10_z-4.20mm_comparison.png,6.767240830231458,4.2901241267541925,out_of_focus,575.5758056640625,"(925, 730)",visualizations
7_mm_1_z-6.00mm_comparison.png,7.222056994214654,4.583891862636454,out_of_focus,574.7401733398438,"(925, 730)",visualizations
7_mm_29_z-0.40mm_comparison.png,4.108839936088771,2.5730514420451884,out_of_focus,583.8959350585938,"(925, 730)",visualizations
7_mm_38_z+1.40mm_comparison.png,2.946814859751612,1.8224943978004025,out_of_focus,588.5078125,"(925, 730)",visualizations
7_mm_47_z+3.20mm_comparison.png,3.203267732169479,1.9881384220384741,out_of_focus,589.373291015625,"(925, 730)",visualizations
7_mm_56_z+5.00mm_comparison.png,4.42235809750855,2.7755541843216496,out_of_focus,588.1557006835938,"(925, 730)",visualizations
7_mm_9_z-4.40mm_comparison.png,6.953234656248242,4.410258346871859,out_of_focus,575.5513916015625,"(925, 730)",visualizations
