cam,fn,scale,R,optimal_margin,optimal_pct,optimal_error,optimal_im
g,sphere1015g_crop.png,50.2,41,2,4.878048780487805,3.8039741996016563,0.0
g,sphere0834g_crop.png,48.2,40,10,25.0,2.3247474640185173,0.0020224940963089466
g,sphere1230g_crop.png,50.3,42,14,33.333333333333336,0.00702893699762915,0.013384625315666199
g,sphere0843g_crop.png,50.2,41,9,21.951219512195124,0.6226829049388982,0.0
g,sphere0895g_crop.png,50.2,42,10,23.80952380952381,2.091305709216936,0.0
g,sphere0962g_crop.png,50.2,41,8,19.51219512195122,0.22443135525358482,0.0
g,sphere1092g_crop.png,50.2,41,2,4.878048780487805,5.255918930203988,0.0
g,sphere1323g_crop.png,50.2,46,7,15.217391304347826,1.9951641891037857,0.0
v,sphere0086v_crop.png,126.3,104,71,68.26923076923077,0.10668925861626599,0.03222950920462608
v,sphere0333v_crop.png,126.2,104,67,64.42307692307692,0.05027150695148993,0.02663384936749935
v,sphere0717v_crop.png,112.4,93,59,63.44086021505376,0.09946041786257723,0.049729250371456146
v,sphere1217v_crop.png,107.8,89,55,61.79775280898876,0.023889210965599705,0.023225080221891403
v,sphere0925v_crop.png,111.3,92,59,64.1304347826087,0.18281356606338525,0.03675663471221924
v,sphere0316v_crop.png,126.2,104,71,68.26923076923077,0.006563843044852616,0.035653334110975266
v,sphere0637v_crop.png,130.4,108,58,53.7037037037037,4.5745830409683315,0.12999729812145233
v,sphere1366v_crop.png,108.7,97,64,65.97938144329896,0.2272948268872884,0.14374332129955292
m,sphere0080m_crop.png,33.7,28,9,32.142857142857146,2.140107502004425,0.14265109598636627
m,sphere0148m_crop.png,33.7,28,7,25.0,2.3499797435382663,0.07872714847326279
m,sphere0166m_crop.png,33.7,28,8,28.571428571428573,2.511492500340477,0.11834263801574707
m,sphere0345m_crop.png,33.7,28,2,7.142857142857143,4.05460485385097,0.0
m,sphere0412m_crop.png,33.7,28,8,28.571428571428573,2.7467978109531686,0.13683366775512695
m,sphere0719m_crop.png,34.05,28,8,28.571428571428573,1.6317059240803806,0.11593635380268097
m,sphere0782m_crop.png,33.8,27,4,14.814814814814815,2.0403052230205776,0.007816285826265812
m,sphere0486m_crop.png,33.7,28,7,25.0,1.9559721344551972,0.06550031900405884
