crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient,focus_class
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0171v_crop.png,sphere0171v_crop.png,10mm-borosilicate-2,238.26178691591866,721086206.0,7650.702730437232,24930527.0,0.023101015266479268,16361102.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0172v_crop.png,sphere0172v_crop.png,10mm-borosilicate-2,234.75822380852603,714696566.0,7578.426903706954,24800184.0,0.02290743982338438,16186728.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0173v_crop.png,sphere0173v_crop.png,10mm-borosilicate-2,238.07721182979822,719241064.0,7636.912926655199,24610930.0,0.023120968334738593,16326397.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0180v_crop.png,sphere0180v_crop.png,10mm-borosilicate-2,237.895898009496,719810798.0,7634.660135444495,24352646.0,0.022853396630330227,16326566.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0181v_crop.png,sphere0181v_crop.png,10mm-borosilicate-2,235.91450081227597,721108306.0,7652.731012574203,24420360.0,0.022715212673657458,16312117.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0190v_crop.png,sphere0190v_crop.png,10mm-borosilicate-2,235.31995297545288,723758278.0,7682.809678753542,24934254.0,0.02312266056576275,16342676.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0191v_crop.png,sphere0191v_crop.png,10mm-borosilicate-2,234.87006630848336,717863648.0,7621.144652377076,24514236.0,0.022870069201994674,16239509.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0196v_crop.png,sphere0196v_crop.png,10mm-borosilicate-2,237.72981922342103,726497480.0,7707.049650671292,24789201.0,0.022946787780832926,16437298.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0197v_crop.png,sphere0197v_crop.png,10mm-borosilicate-2,236.67531730372764,717980024.0,7617.358009328136,24556942.0,0.023178064833379235,16278500.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0204v_crop.png,sphere0204v_crop.png,10mm-borosilicate-2,235.93537698283308,720469426.0,7646.730516531682,24408094.0,0.022893064950939467,16309520.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0206v_crop.png,sphere0206v_crop.png,10mm-borosilicate-2,234.43978785381645,714115372.0,7572.914171714495,24539128.0,0.023242665050237317,16174600.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0209v_crop.png,sphere0209v_crop.png,10mm-borosilicate-2,237.97892958927173,721003474.0,7651.240455347282,24641308.0,0.02322649403739998,16349098.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0214v_crop.png,sphere0214v_crop.png,10mm-borosilicate-2,236.50995244505413,721889092.0,7662.533160029273,24916556.0,0.0233078807329052,16343587.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1015g_crop.png,sphere1015g_crop.png,10mm-borosilicate-tmx,134.2442797652554,255972522.0,2693.7392063301386,9598150.0,0.004664067505618629,6552090.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1017g_crop.png,sphere1017g_crop.png,10mm-borosilicate-tmx,134.5745067887836,255593140.0,2691.199357026691,9559826.0,0.004723859946439681,6553573.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1022g_crop.png,sphere1022g_crop.png,10mm-borosilicate-tmx,136.8298268759859,248545666.0,2612.0533734463866,9468196.0,0.0049521745375161385,6489913.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1024g_crop.png,sphere1024g_crop.png,10mm-borosilicate-tmx,150.89347418116358,256708972.0,2699.9767799186575,8733622.0,0.0059634157407707266,6729919.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1028g_crop.png,sphere1028g_crop.png,10mm-borosilicate-tmx,135.58981232539168,260329550.0,2741.348217314704,9814208.0,0.004640350631565074,6653209.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1034g_crop.png,sphere1034g_crop.png,10mm-borosilicate-tmx,146.31421200773306,294400074.0,3108.4844252586745,11248832.0,0.004391840909667416,7420227.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-tmx\sphere1036g_crop.png,sphere1036g_crop.png,10mm-borosilicate-tmx,131.77701541545102,260858342.0,2742.025101051307,9926839.0,0.004442511388719082,6578265.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0333v_crop.png,sphere0333v_crop.png,14mm-borosilicate-1,229.71542944697578,709165462.0,7481.244285425157,24429631.0,0.02106527943599482,15995253.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0342v_crop.png,sphere0342v_crop.png,14mm-borosilicate-1,226.0273387080303,699343316.0,7367.601949874325,23642994.0,0.020256813132106304,15750624.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0343v_crop.png,sphere0343v_crop.png,14mm-borosilicate-1,222.45650608570958,692729364.0,7293.084184969439,23556408.0,0.020076685925589362,15572949.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0354v_crop.png,sphere0354v_crop.png,14mm-borosilicate-1,222.66099715752807,691969586.0,7298.825305323861,23197867.0,0.020358574950311365,15568475.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0357v_crop.png,sphere0357v_crop.png,14mm-borosilicate-1,222.34116755277427,692264206.0,7299.661561942804,23193488.0,0.020335408013200135,15554862.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0364v_crop.png,sphere0364v_crop.png,14mm-borosilicate-1,221.92237649718967,697582436.0,7362.741121250972,23541713.0,0.020088426329781084,15653196.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0365v_crop.png,sphere0365v_crop.png,14mm-borosilicate-1,227.67359685328447,699947326.0,7398.214981337608,23724805.0,0.02076401312229411,15799854.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0367v_crop.png,sphere0367v_crop.png,14mm-borosilicate-1,221.82783228516573,705480032.0,7451.191619544073,23910814.0,0.02005575213872113,15768324.0,sharp
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\14mm-borosilicate-1\sphere0368v_crop.png,sphere0368v_crop.png,14mm-borosilicate-1,237.02576512851533,713119606.0,7537.941075096395,24201020.0,0.0213996485024389,16196565.0,sharp
